Question,Chunk_content,Source_ref,Topic
Quels sont les seuils de glycémie à jeun requis pour poser le diagnostic de diabète sucré chez l'adulte ?,"Le diagnostic de diabète peut être établi si la glycémie à jeun est supérieure ou égale à 1,26 g/L (7,00 mmol/L). En l'absence d’hyperglycémie évidente, cette mesure doit être confirmée par une deuxième mesure. Le seuil a été abaissé de 1,40 g/L à 1,26 g/L pour l'aligner sur le risque de complications microvasculaires équivalent à 2,00 g/L post-HGPO.",DIAGNOSTIC ET CLASSIFICATION DU DIABÈTE SUCRÉ LES NOUVEAUX CRITÈRES,Diagnostic
Quelle est la différence de fréquence entre le Diabète de Type 1 (DT1) et le Diabète de Type 2 (DT2) en France ?,"Le Diabète de Type 2 représente 90 % des cas de diabète. Le Diabète de Type 1 représente près de 6 % des cas en France. En 2018, environ 94 % des personnes traitées par médicament souffraient de DT2 et environ 5 % de DT1.",Diabète sucré - Wikipédia ; Guide pratique pour la gestion du diabète - Diabète Québec,Classification / Épidémiologie
Quel est le rôle de l'insuline dans la régulation de la glycémie ?,"L’insuline est une hormone produite par le pancréas. Elle agit comme une clé en permettant au sucre présent dans le sang d'entrer dans les cellules du corps pour qu'il soit utilisé comme source d'énergie. L'insuline a pour fonction d'augmenter l'entrée de glucose dans les cellules en cas d'hyperglycémie, ayant ainsi une action hypoglycémiante.",Diabète sucré - Wikipédia ; Guide pratique pour la gestion du diabète - Diabète Québec,Physiopathologie
Quels sont les quatre piliers fondamentaux du traitement du diabète de type 2 ?,"Le traitement du diabète de type 2 comporte quatre piliers : 1) L’alimentation, 2) L’activité physique, 3) La médication, et 4) La gestion du stress. Les saines habitudes de vie sont la base de ce traitement.",Guide pratique pour la gestion du diabète - Diabète Québec ; Stratégies et Défis de la Gestion du Diabète,Traitement
Pourquoi l'Hémoglobine Glyquée (HbA1c) est-elle l'indicateur clé pour le suivi du diabète ?,"L’HbA1c est le reflet de la moyenne des valeurs de glycémie des deux à trois derniers mois. Elle n'est pas sujette à des variations au jour le jour comme la glycémie. Les grandes études prospectives (DCCT, UKPDS) ont validé l'HbA1c comme le paramètre de référence du contrôle glycémique vis-à-vis du risque des complications spécifiques et macrovasculaires.",DIAGNOSTIC ET CLASSIFICATION DU DIABÈTE SUCRÉ LES NOUVEAUX CRITÈRES ; Guide pratique pour la gestion du diabète - Diabète Québec,Diagnostic / Suivi
Quelles sont les complications psychologiques et de santé mentale liées au diabète, et quel pourcentage de personnes sont touchées ?","L’International Diabetes Federation rapporte que 77 % des personnes vivant avec un diabète déclarent avoir souffert d’un trouble de santé mentale lié à leur maladie. Ce ""fardeau de la maladie"" est causé par les contraintes thérapeutiques, la peur des complications, et un profond sentiment d’isolement. 32 % des répondants au Baromètre DiaMind déclarent avoir déjà été diagnostiqués avec un trouble de santé mentale (anxiété, dépression…).",77 % des diabétiques déclarent avoir souffert d'un trouble de santé mentale lié à leur maladie
Quelles sont les principales complications macrovasculaires (atteintes des gros vaisseaux) du diabète ?,"Les atteintes des gros vaisseaux (macroangiopathie), dues à l'athérosclérose, incluent l'angine de poitrine, l'infarctus du myocarde (crise cardiaque), les accidents vasculaires cérébraux (AVC) et l'artériopathie oblitérante des membres inférieurs (AOMI). Le diabète fait vieillir plus rapidement le cœur et les vaisseaux sanguins.",Diabète sucré - Wikipédia ; Guide pratique pour la gestion du diabète - Diabète Québec,Complication
Quel est le seuil de glycémie à jeun qui définit l'Hyperglycémie Modérée à Jeun (HMJ), une forme de glycorégulation anormale ?","L'Hyperglycémie Modérée à Jeun (HMJ) correspond à une glycémie à jeun comprise entre 1,10 g/L (6,1 mmol/L) et < 1,26 g/L (7,0 mmol/L). Les sujets présentant une HMJ sont considérés comme ayant une augmentation du risque de progression vers le diabète.",DIAGNOSTIC ET CLASSIFICATION DU DIABÈTE SUCRÉ LES NOUVEAUX CRITÈRES
Quel est le traitement médicamenteux de première intention recommandé pour le diabète de type 2 (DT2), et quel est son mode d'action ?",La metformine (Biguanides) est l'agent de première intention recommandé pour les adultes atteints de DT2. Son mode d'action est de diminuer la quantité de sucre produite par le foie et de rendre les cellules du corps plus sensibles à l’insuline.,Guide pratique pour la gestion du diabète - Diabète Québec ; Prise en charge du diabète de type 2 chez les patients fragiles - PMC - NIH ; Recommandations de la HAS 2024 dans la prise en charge du diabète de type 2 
Quelles sont les trois complications microvasculaires spécifiques (touchant les petits vaisseaux) du diabète ?,"Les trois complications microvasculaires sont : 1) La Rétinopathie diabétique (yeux), 2) La Néphropathie diabétique (reins), et 3) La Neuropathie diabétique (nerfs).",Diabète sucré - Wikipédia ; Guide pratique pour la gestion du diabète - Diabète Québec,Complication
